university,Medical Imaging,Stem Cell Engineering,Clinical Medicine,Genetics,Cancer Research,Drug Delivery,Public Health,Neurology,Tissue Engineering,Animal Model,Epidemiology,Cell Biologies,Bone Marrow Regeneration,Brain Machine Interface,Spinal Injury & Rehabilitation,Musculoskeletal Regeneration,Machine Learning,Covid-19,Aging,Cardiac Engineering
Rice_University,178.26439142327808,5825.874128363722,1771.2748141691889,5618.439266861569,928.0784376853798,3852.860548795573,3143.978699380288,723.5507529115678,2189.635830188172,1449.2876304093897,161.44404392093594,998.5887588909553,824.065548269593,914.6755519479715,137.28674278772755,269.14059187253866,1653.7001830543466,1354.0781081157247,263.35037063795426,292.11268354021206
Shanghai_Jiao_Tong_University,1053.0475286796288,7028.478233383661,5111.469837767028,5736.19615619137,5688.5967641467605,6659.461625075342,2237.8855899945734,1986.3848885008404,2291.5976161539547,8222.211413432984,1124.2806553582298,6499.415188357711,1489.678680112523,2875.819344264277,1298.8178230441006,727.3694088920608,5330.1614870097865,3446.9829308435965,6551.013223799381,3364.6751409587055
Stanford_University,1304.3399352463398,19445.04722724502,1558.4136648437727,13582.752791692667,2763.532299380819,4407.094605578452,4071.1814541071712,8602.094351054238,2340.3886838813273,5745.801942961824,741.408678964999,13766.68442395075,713.902455272163,7067.139031655447,1429.5783690088654,1342.5325704942998,9711.310649459669,5975.635793111166,2235.187740427259,2380.15875952077
Tsinghua_University,410.16593787272996,1546.8973115512122,641.3258836678882,526.9270749588492,714.3434061051952,1505.2504152511294,462.95866286651227,597.8533991037704,728.7893534865792,1360.2218748962962,128.29842555427564,580.1319285437772,234.13260927803717,752.751342071652,185.20922010828974,196.49639135193385,1399.7655854880902,945.648518353591,1177.0052611734302,558.1008936632574
University_College_London,16.916730385423964,569.2836428798878,261.2670613201737,225.88755243405072,88.15137787059774,503.7575223451672,370.9697184615478,63.24038875814245,51.380234447745735,131.335644427841,84.99554779413012,523.6030108701959,22.22147131771664,134.36416344680327,31.82524099016957,28.060242190497817,418.8778089684388,278.42852551131034,257.99354734142537,122.64606072928036
University_of_British_Columbia,493.0565317584106,1817.4493760944642,17811.27596465867,6762.32187083666,5703.892716420528,4774.022649847771,14289.06022487325,3816.1752835520624,507.99211059859556,3477.2195192445624,10723.481657710236,3846.861933753802,497.6151157539455,12181.806249319947,5975.135037984348,1960.4074607958794,7926.0936273936095,8806.149994669757,33499.03433600423,7203.036213498977
University_of_California_Berkeley,347.9148717221149,10183.354511846454,818.3255430776584,7382.9590278800015,1069.479910423711,5132.352339986089,1961.5580644631284,1348.4920337099552,2262.2323651825636,2673.3908285463367,370.1290727869923,6585.4783479375665,572.964124881366,1541.5744280189465,271.09537032057415,652.7355754257135,3986.480963593945,4470.792331256162,1055.660476434561,1414.4475412259014
University_of_California_Los_Angeles,1833.0464707841322,12246.051239523686,6637.166993328891,6470.319558372489,6196.005786783752,11259.437877123411,4693.01052986285,5424.637198336828,4527.005122871211,6846.091972834548,997.921694922116,7693.505733612176,1931.8784450276771,3462.6260681801255,997.8189680273435,4473.087496315999,6613.21728693656,4951.369417355575,4442.873396724746,3662.0755389006094
University_of_California_San_Diego,1418.388527654988,37039.920271393334,3853.1666523168287,38784.56807855723,11349.622913897625,11325.16884881546,7067.7493806549655,7726.443953642998,6884.507139505588,19920.892873912955,1447.8971243841768,24093.11606152332,1922.3651449350748,7924.93943839418,2107.9725822083606,2457.8473977185417,17370.317412144163,15040.776733383103,4186.644206004927,10128.55078672479
University_of_California_San_Francisco,424.64008757515904,16465.73412572623,3814.7342160404123,14288.14087663787,6748.783744715732,4450.882595011239,4954.167407298677,3123.091437890119,4175.365691290818,8854.504688409532,1570.8762697815955,21960.789058457332,1188.628880539344,4009.503408939674,684.2245719199942,687.7600113595228,10909.852652183978,15188.638271321508,3668.757587436106,1583.9317320118134
